,,0,1,2,3,4,5,6,7,8,9,Global
views_count,mean,1346.0692307692307,437.54347826086956,871.9733333333334,951.175,1071.4598930481284,342.32307692307694,4675.444444444444,543.7278106508876,378.912,276.8125,844.6424914675767
views_count,std,1137.076451095115,520.8824438295603,3185.571089919132,3150.0037671469854,2323.735559105554,665.6811621304787,5469.721476252495,517.9815075257325,509.8850442232843,451.1654860839128,2268.7766795929956
views_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
images_count,mean,34.87692307692308,31.0,12.373333333333333,11.83,14.005347593582888,10.984615384615385,26.444444444444443,24.828402366863905,7.16,1.75,16.89419795221843
images_count,std,14.174994570697665,12.348639151294725,9.997463964140392,11.396953661563211,13.394147865987907,11.957597359644813,14.379769740081993,11.906386758654408,7.42098158884224,1.3416407864998738,14.54076047667487
images_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
price,mean,8023063.503862862,2536.5,21083.60148148148,235235.20584419346,162129.7860962567,37998.31026754885,234000.0,161815.4497555509,5577.445333333333,2218.75,987951.7387773801
price,std,29538337.103576697,809.7642661087649,87506.41757430817,392603.5188861662,314033.8576700215,181964.1130527852,286894.14424139087,362729.18323163,8505.193045114653,481.96645803070845,10117797.07142406
price,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
seller_rating,mean,9.63950248756219,170.07246376811594,73.49925925925925,34.47234328358209,14.654188948306595,19.002403367776502,26.296296296296294,56.61069798934322,95.912,410.0,55.32136077292717
seller_rating,std,19.622134980457886,107.11071722019503,103.42428372837124,77.4478146571131,38.07025777247316,59.03254476126456,49.51022465793315,91.85276069943916,123.90440401104934,0.0,99.73824267593558
seller_rating,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
seller_reviews_count,mean,11.315384615384616,192.56521739130434,85.40444444444445,40.56,19.711229946524064,21.0,30.555555555555557,62.59763313609467,110.768,423.0,63.2901023890785
seller_reviews_count,std,23.287230627879318,112.8715399959742,118.02410081426538,86.89777046945919,58.53049965051822,63.31913217977643,58.6240375424431,97.89391242361654,135.25866116206694,0.0,110.24573656023014
seller_reviews_count,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
seller_online,mean,0.046153846153846156,0.17391304347826086,0.017777777777777778,0.055,0.24598930481283424,0.0,0.0,0.05325443786982249,0.0,0.0,0.07167235494880546
seller_online,std,0.21062985872898748,0.3832230465168327,0.1324374665254608,0.22855235921889452,0.4318283956919209,0.0,0.0,0.22520770914196916,0.0,0.0,0.2580547380091392
seller_online,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
seller_city,mean,0.8076923076923077,0.717391304347826,0.9066666666666666,0.92,0.983957219251337,0.9846153846153847,0.8888888888888888,0.9112426035502958,0.992,1.0,0.9180887372013652
seller_city,std,0.3956381136779332,0.455243206222338,0.29154759474226494,0.27197398634103076,0.12597729053230294,0.12403473458920845,0.3333333333333333,0.28523840334983314,0.08944271909999157,0.0,0.2743465472459334
seller_city,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
description_length,mean,606.6923076923077,170.1304347826087,1299.7111111111112,1447.0,2061.6417112299464,972.276923076923,1303.0,497.44970414201185,476.904,301.75,1090.0110921501707
description_length,std,1085.4740460239168,487.33254029555405,927.3202902098719,819.533688957741,1077.6602168503773,908.7388669829111,757.0980781906661,679.6778115510268,423.9473762231009,252.94887493984498,1038.1529181755848
description_length,count,130.0,46.0,225.0,200.0,187.0,65.0,9.0,169.0,125.0,16.0,1172.0
